cod_distrito,cod_concelho,cod_localidade,nome_localidade,cod_arteria,tipo_arteria,prep1,titulo_arteria,prep2,nome_arteria,local_arteria,troco,porta,cliente,num_cod_postal,ext_cod_postal,desig_postal
13,12,38332,Porto,10611213,Rua,,,,João de Barros,,Campo de Futebol,,,4150,415,PORTO
13,12,38332,Porto,10611213,Rua,,,,João de Barros,,Impares de 265 a 581,,,4150,416,PORTO
13,12,38332,Porto,10611213,Rua,,,,João de Barros,,Impares de 57 a 85,,,4150,415,PORTO
13,12,38332,Porto,10611213,Rua,,,,João de Barros,,Pares de 12 a 20,,,4150,415,PORTO
13,12,38332,Porto,10611213,Rua,,,,João de Barros,,Pares de 226 a 684,,,4150,414,PORTO
13,12,38332,Porto,10611213,Rua,,,,João de Barros,,Pares de 88 a 138C,,,4150,413,PORTO
13,12,38332,Porto,1061213,Rua,,,,Alto do Mato,,,,,4150,062,PORTO
13,12,38332,Porto,1062080000,Rua,,,,Armando Campos,,,,,4350,418,PORTO
13,12,38332,Porto,1062090000,Rua,,,,Maria Peregrina de Sousa,,,,,4250,095,PORTO
13,12,38332,Porto,1062100000,Rua,,,,Pedro Veiga,,,,,4150,335,PORTO
13,12,38332,Porto,10621213,Bairro,,,,João do Carmo,,,,,4150,425,PORTO
13,12,38332,Porto,1062280000,Parque,de,São,,Bartolomeu,,,,,4150,094,PORTO
13,12,38332,Porto,10631213,Calçada,,,,João do Carmo,,,,,4150,426,PORTO
13,12,38332,Porto,10651213,Rua,,,,João Corregedor da Fonseca,,Impares de 11 a 187,,,4350,202,PORTO
13,12,38332,Porto,10651213,Rua,,,,João Corregedor da Fonseca,,Pares de 6 a 174,,,4350,201,PORTO
13,12,38332,Porto,10661213,Rua,,,,João de Deus,,Impares de 19 a 297,,,4100,460,PORTO
13,12,38332,Porto,10661213,Rua,,,,João de Deus,,Impares de 307 a 399,,,4100,461,PORTO
13,12,38332,Porto,10661213,Rua,,,,João de Deus,,Impares de 601 a 787,,,4100,462,PORTO
