Campo Grande,
Campolide,
Campo Lindo,
Campos,
Campos Monteiro,
Canastreiros,
Candemil,
Cândida Alves,F
Cândida Sá de Albergaria,F
Cândido dos Reis,M
Cantor Zeca Afonso,
Capitães de Abril,
Capuchinhos,
Cardo,
Carlos,M
Carlos Alberto,M
Carlos Alberto Ferreira de Almeida,M
Carlos Amarante,M
Carlos Cal Brandão,M
Carlos Carneiro,M
Carlos da Maia,M
Carlos Dubini,M
Carlos Graça,M
Carlos I,M
Carlos Lima,M
Carlos Malheiro Dias,M
Carlos Passos,M
Carlos Ramos,M
Carlos Teixeira,M
Carmelitas,
Carmo,F
Carnide,
Carolina Michaelis Vasconcelos,F
Carquejeiras,
Carregal,
Carreiras,
Carriçal,
Carrilho Videira,
Carrington da Costa,
Carteado Mena,
Cartes,
Carvalheiras,
Carvalhido,
Carvalho,
Carvalho Araújo,
Carvalho Barbosa,
Carvalhosa,
Casal,
Casal do Pedro,
Cascais,
Casimiro de Azevedo,M
Cassiano Barbosa,M
Cassiano Branco,M
Castelo,M
Castelo da Feira,M
Castelo de Faria,M
Castelo de Guimarães,M
Castelo de Lanhoso,M
Castelo de Numão,M
Castelo de Penedono,M
Castelo do Queijo,M
Castelo Melhor,M
Castelo Rodrigo,M
Castelos,
Castro,
Catarina,F
Cativo,
Cavadas,
Cávado,
Cecília Meireles,F
Cedofeita,
Cedros,
Cegonhas,
Central,
Central da Corujeira,
Central da Parceria,
Central de Francos,
Central do Viso,
Cerca,
Cerco do Porto,
Cerneja,
Cervantes,
César Abbot,M
César das Neves,M
Ceuta,
Chã,
Chaimite,
Chaves de Oliveira,
China,
Choupos,
Ciclames,
Cidade da Beira,
Cidade da Praia,
Cidade das Neves,
Cidade de Bristol,
Cidade de Iena,
Cidade de León,
Cidade de Lisboa,
Cidade de Luanda,
Cidade de Recife,
Cidade de Vigo,
Cidade de Xangai,
Cidade do Mindelo,
Cidade do Porto,
Cidade do Salvador,
Cidade N'Dola,
Cidália Meireles,F
Cidral de Baixo,
Cidral de Cima,
Cima,
Cima de Pereiró,
Cima do Muro,
Cimo de Vila,
Circunvalação,
Ciríaco Cardoso,
Cisnes,
Clara,F
Classes Obreiras,
Cláudio Carneiro,M
Clemente Meneres,
Clérigos,
Clube dos Fenianos,
Clube Fluvial Portuense,
Côa,
Codeçal,
Coelhas,
Coelho Lousada,
Coelho Neto,
Colégio,
Colónia Antero de Quental,
Combatentes da Grande Guerra,
Companhia,
Conceição,F
Condominhas,
Congostas,
Congregados,
Conselho da Europa,
Constituição,
Contumil,
Coolela,
Cooperativa da Zona da Boavista,
Cooperativa do Pego Negro,
Cooperativa do Povo Portuense,
Cordoaria Velha de Lordelo,
Corgo,
Corino de Andrade,
Corpo da Guarda,
Correia da Serra,
Correia de Araújo,
Correia de Barros,
Correia de Sá,
Correia Pinto,
Corte Real,
Cortes,
Corticeira,
Corujeira,
Corujeira de Baixo,
Corvo,
Costa Barreto,
Costa Cabral,
Costa e Almeida,
Costa Júnior,
Costa Nova,
Costibela,
Cotovias,
Coutinho de Azevedo,
Covelo,
Covilhã,
Crasto,
Cravinas,
Cravos,
Crisântemos,
Cristelo,
Cristóvão da Gama,M
Cruz,
Cruzes,
Cruzinho,
Cruz Malpique,
Cruz Vermelha Portuguesa,
Cunha,
Cunha Espinheira,
Cunha Júnior,
Currais,
Curso Silva Monteiro,
Custódio Guimarães,M
Dálias,
Damão,
Dâmaso Carreiro,
Damião de Góis,M
Damião Peres,M
Daniel Constant,M
Daniel Filipe,M
David Magno,M
Delfim Brito Guimarães,M
Delfim Ferreira,M
Delfim Maia,M
Delfim Pereira da Costa,M
Deniz Jacinto,M
Desertas,
Diamantina,F
Diamantino Gomes,M
Dias,M
Dinis,M
Diogo Afonso,M
Diogo Botelho,M
Diogo Brandão,M
Diogo Cão,M
Diogo de Noronha,M
Diogo do Couto,M
Diogo Gomes,M
Diogo Macedo,M
